index	max_degree	fail_node_degree	fail_neber_degree	fail_degree_sum	max_load	big_load_num	fail_load_sum	fail_num	first_round_fail	neber_fail_num	fail_round	subgraph_num	fail_node_load	load_change	degree_change	fail_neber_load	LCC
11,88,	138	23	0	23	27760	33	890	0	0	0	0	2	890	6349	46	0	329
11,89,	138	27	0	27	27783	33	975	0	0	0	0	2	975	6674	54	0	329
11,90,	137	26	0	26	27584	33	953	0	0	0	0	2	953	6079	52	0	329
11,91,	138	24	0	24	27779	33	890	0	0	0	0	2	890	6260	48	0	329
11,92,	138	23	0	23	27760	33	890	0	0	0	0	2	890	6349	46	0	329
11,93,	138	28	0	28	27773	33	945	0	0	0	0	2	945	6298	56	0	329
11,94,	138	24	0	24	27779	33	890	0	0	0	0	2	890	6260	48	0	329
11,95,	138	23	0	23	27760	33	890	0	0	0	0	2	890	6108	46	0	329
11,96,	138	38	0	38	27758	33	1687	0	0	0	0	3	1687	10457	76	0	328
11,97,	138	22	0	22	27760	33	890	0	0	0	0	2	890	6109	44	0	329
11,98,	138	22	0	22	27760	33	890	0	0	0	0	2	890	6109	44	0	329
11,99,	138	22	0	22	27760	33	890	0	0	0	0	2	890	6109	44	0	329
12,13,	137	67	50	117	26753	31	8195	8	8	8	1	3	7165	27326	198	1030	320
12,14,	137	53	0	53	27912	32	609	0	0	0	0	1	609	4856	106	0	330
12,15,	137	45	0	45	27914	32	1071	0	0	0	0	1	1071	4907	90	0	330
12,16,	137	48	0	48	27942	32	943	0	0	0	0	1	943	4621	94	0	330
12,17,	137	49	0	49	27930	32	1296	0	0	0	0	1	1296	4993	96	0	330
12,18,	137	55	0	55	27922	32	795	0	0	0	0	1	795	4956	110	0	330
12,19,	137	42	0	42	27910	32	684	0	0	0	0	1	684	4342	82	0	330
12,20,	137	42	0	42	27897	32	1025	0	0	0	0	1	1025	4661	84	0	330
12,21,	137	45	0	45	27903	32	539	0	0	0	0	1	539	4670	90	0	330
12,22,	137	39	0	39	27888	32	570	0	0	0	0	1	570	4452	78	0	330
12,23,	137	46	0	46	27874	32	578	0	0	0	0	1	578	5060	92	0	330
12,24,	137	32	0	32	27814	32	526	0	0	0	0	1	526	3706	64	0	330
12,25,	137	44	0	44	27862	32	530	0	0	0	0	1	530	5055	88	0	330
12,26,	137	41	0	41	27858	32	675	0	0	0	0	1	675	4926	82	0	330
12,27,	137	44	0	44	27907	32	601	0	0	0	0	1	601	4494	88	0	330
12,28,	137	45	0	45	27903	32	527	0	0	0	0	1	527	4631	90	0	330
12,29,	137	45	0	45	27894	32	783	0	0	0	0	1	783	4863	90	0	330
12,30,	137	36	0	36	27889	32	559	0	0	0	0	1	559	4087	72	0	330
12,31,	137	36	0	36	27835	32	553	0	0	0	0	1	553	4367	72	0	330
12,32,	137	43	0	43	27885	32	1074	0	0	0	0	1	1074	4771	86	0	330
12,33,	137	40	0	40	27897	32	551	0	0	0	0	1	551	4337	78	0	330
12,34,	137	34	0	34	27837	32	536	0	0	0	0	1	536	4241	68	0	330
12,35,	137	33	0	33	27830	32	534	0	0	0	0	1	534	3896	66	0	330
12,36,	137	30	0	30	27837	32	521	0	0	0	0	1	521	3572	60	0	330
12,37,	137	30	0	30	27834	32	527	0	0	0	0	1	527	3600	60	0	330
12,38,	137	32	0	32	27835	32	573	0	0	0	0	1	573	3650	64	0	330
12,39,	137	31	0	31	27841	32	521	0	0	0	0	1	521	3650	62	0	330
12,40,	137	32	0	32	27827	32	771	0	0	0	0	1	771	3949	64	0	330
12,41,	137	29	0	29	27813	32	521	0	0	0	0	1	521	3518	58	0	330
12,42,	137	30	0	30	27504	32	862	0	0	0	0	2	862	5050	60	0	329
12,43,	137	29	0	29	27805	32	524	0	0	0	0	1	524	3529	58	0	330
12,44,	137	27	0	27	27801	32	521	0	0	0	0	1	521	3317	54	0	330
12,45,	137	30	0	30	27804	32	522	0	0	0	0	1	522	3498	60	0	330
12,46,	134	144	57	201	26479	32	18785	5	5	5	1	14	18596	32862	392	189	311
12,47,	137	85	0	85	28030	32	9280	0	0	0	0	2	9280	12957	168	0	329
12,48,	137	72	0	72	27993	31	3128	0	0	0	0	1	3128	6540	144	0	330
12,49,	137	73	0	73	27976	31	3028	0	0	0	0	1	3028	6522	144	0	330
12,50,	137	76	0	76	27947	32	1891	0	0	0	0	1	1891	6063	152	0	330
12,51,	137	93	0	93	28049	31	5614	0	0	0	0	1	5614	8222	186	0	330
12,52,	137	96	0	96	28083	31	9748	0	0	0	0	1	9748	12193	190	0	330
12,53,	137	50	16	66	25991	31	7507	2	2	2	1	6	6691	30892	126	816	317
12,54,	137	104	5	109	27902	32	12871	1	1	1	1	4	12862	18611	214	9	326
12,55,	137	75	0	75	28001	31	3224	0	0	0	0	1	3224	6559	148	0	330
12,56,	137	82	0	82	27977	31	3348	0	0	0	0	1	3348	7047	164	0	330
12,57,	137	88	12	100	27840	31	5284	2	2	2	1	1	5154	11429	198	130	328
12,58,	136	74	9	83	27574	31	3929	1	1	1	1	2	3739	10449	164	190	328
12,59,	137	60	0	60	27936	32	1007	0	0	0	0	1	1007	5138	120	0	330
12,60,	137	70	0	70	27820	31	2390	0	0	0	0	2	2390	7736	140	0	329
12,61,	137	53	0	53	27906	32	1390	0	0	0	0	1	1390	5568	106	0	330
12,62,	138	52	0	52	28144	32	1522	0	0	0	0	1	1522	5050	104	0	330
12,63,	137	61	0	61	27972	32	1511	0	0	0	0	1	1511	5197	122	0	330
12,64,	137	59	0	59	27953	32	1197	0	0	0	0	1	1197	5195	118	0	330
12,65,	137	67	0	67	27989	32	1860	0	0	0	0	1	1860	5276	134	0	330
12,66,	137	46	0	46	27916	32	883	0	0	0	0	1	883	4628	92	0	330
12,67,	137	49	0	49	27952	32	1263	0	0	0	0	1	1263	4665	96	0	330
12,68,	137	60	0	60	27967	32	1379	0	0	0	0	1	1379	5144	120	0	330
12,69,	137	43	0	43	27898	32	1086	0	0	0	0	1	1086	4858	86	0	330
12,70,	137	40	0	40	27895	32	915	0	0	0	0	1	915	4566	80	0	330
12,71,	137	48	0	48	27903	32	1022	0	0	0	0	1	1022	4944	96	0	330
12,72,	137	41	0	41	27910	32	677	0	0	0	0	1	677	4500	82	0	330
12,73,	138	36	0	36	28074	31	711	0	0	0	0	1	711	4755	72	0	330
12,74,	137	44	0	44	27893	32	843	0	0	0	0	1	843	4732	88	0	330
12,75,	137	35	0	35	27884	32	688	0	0	0	0	1	688	4207	70	0	330
12,76,	138	33	0	33	28078	32	528	0	0	0	0	1	528	4066	64	0	330
12,77,	138	32	0	32	28037	32	587	0	0	0	0	1	587	4342	64	0	330
12,78,	138	32	0	32	28037	32	585	0	0	0	0	1	585	4396	64	0	330
12,79,	137	38	0	38	27884	32	791	0	0	0	0	1	791	4425	76	0	330
12,80,	138	31	0	31	28037	32	521	0	0	0	0	1	521	4409	62	0	330
12,81,	137	34	0	34	27871	32	529	0	0	0	0	1	529	3921	68	0	330
12,82,	138	41	0	41	28028	32	1074	0	0	0	0	2	1074	7602	82	0	329
12,83,	138	36	0	36	28056	32	546	0	0	0	0	1	546	4761	72	0	330
12,84,	138	35	0	35	28053	32	541	0	0	0	0	1	541	4319	70	0	330
12,85,	138	36	0	36	28056	32	583	0	0	0	0	1	583	4379	72	0	330
12,86,	138	33	0	33	28050	32	525	0	0	0	0	1	525	3940	66	0	330
12,87,	138	33	0	33	28078	32	545	0	0	0	0	1	545	4060	66	0	330
12,88,	138	28	0	28	28037	32	521	0	0	0	0	1	521	3951	56	0	330
12,89,	138	32	0	32	28060	32	606	0	0	0	0	1	606	4277	64	0	330
12,90,	137	31	0	31	27860	32	584	0	0	0	0	1	584	3681	62	0	330
12,91,	138	29	0	29	28056	32	521	0	0	0	0	1	521	3864	58	0	330
12,92,	138	28	0	28	28037	32	521	0	0	0	0	1	521	3951	56	0	330
12,93,	138	33	0	33	28050	32	576	0	0	0	0	1	576	3901	66	0	330
12,94,	138	29	0	29	28056	32	521	0	0	0	0	1	521	3864	58	0	330
12,95,	138	28	0	28	28037	32	521	0	0	0	0	1	521	3711	56	0	330
12,96,	138	43	0	43	28035	32	1318	0	0	0	0	2	1318	8058	86	0	329
12,97,	138	27	0	27	28037	32	521	0	0	0	0	1	521	3712	54	0	330
12,98,	138	27	0	27	28037	32	521	0	0	0	0	1	521	3712	54	0	330
12,99,	138	27	0	27	28037	32	521	0	0	0	0	1	521	3712	54	0	330
13,14,	137	68	50	118	26738	31	7762	8	8	8	1	3	6732	27231	202	1030	320
13,15,	137	60	50	110	26738	30	8224	8	8	8	1	3	7194	27310	186	1030	320
13,16,	137	63	50	113	26758	31	8096	8	8	8	1	3	7066	27056	190	1030	320
13,17,	137	64	50	114	26746	31	8449	8	8	8	1	3	7419	27408	192	1030	320
13,18,	137	70	50	120	26748	30	7948	8	8	8	1	3	6918	27314	206	1030	320
13,19,	137	57	50	107	26726	31	7837	8	8	8	1	3	6807	26805	178	1030	320
13,20,	137	57	50	107	26721	30	8178	8	8	8	1	3	7148	27078	180	1030	320
13,21,	137	60	50	110	26729	31	7692	8	8	8	1	3	6662	27060	186	1030	320
13,22,	137	54	50	104	26712	31	7723	8	8	8	1	3	6693	26869	174	1030	320
13,23,	137	61	50	111	26700	31	7731	8	8	8	1	3	6701	27470	188	1030	320
13,24,	137	47	50	97	26640	31	7679	8	8	8	1	3	6649	26186	160	1030	320
13,25,	137	59	50	109	26688	31	7683	8	8	8	1	3	6653	27469	184	1030	320
13,26,	137	56	50	106	26684	31	7828	8	8	8	1	3	6798	27352	178	1030	320
13,27,	137	59	50	109	26733	30	7754	8	8	8	1	3	6724	26896	184	1030	320
13,28,	137	60	50	110	26729	31	7680	8	8	8	1	3	6650	27021	186	1030	320
13,29,	137	60	50	110	26720	31	7936	8	8	8	1	3	6906	27260	186	1030	320
13,30,	137	51	50	101	26715	30	7712	8	8	8	1	3	6682	26520	168	1030	320
13,31,	137	51	50	101	26661	31	7706	8	8	8	1	3	6676	26818	168	1030	320
13,32,	137	58	50	108	26711	31	8227	8	8	8	1	3	7197	27197	182	1030	320
13,33,	137	55	50	105	26719	31	7704	8	8	8	1	3	6674	26808	176	1030	320
13,34,	137	49	50	99	26663	31	7689	8	8	8	1	3	6659	26696	164	1030	320
13,35,	137	48	50	98	26656	31	7687	8	8	8	1	3	6657	26371	162	1030	320
13,36,	137	45	50	95	26663	31	7674	8	8	8	1	3	6644	26046	156	1030	320
13,37,	137	45	50	95	26660	31	7680	8	8	8	1	3	6650	26079	156	1030	320
13,38,	137	47	50	97	26660	31	7726	8	8	8	1	3	6696	26125	160	1030	320
13,39,	137	46	50	96	26667	31	7674	8	8	8	1	3	6644	26124	158	1030	320
13,40,	137	47	50	97	26652	31	7924	8	8	8	1	3	6894	26414	160	1030	320
13,41,	137	44	50	94	26639	31	7674	8	8	8	1	3	6644	25999	154	1030	320
13,42,	137	45	50	95	26340	31	8015	8	8	8	1	4	6985	27475	156	1030	319
13,43,	137	44	50	94	26631	31	7677	8	8	8	1	3	6647	26010	154	1030	320
13,44,	137	42	50	92	26627	31	7674	8	8	8	1	3	6644	25808	150	1030	320
13,45,	137	45	50	95	26630	31	7675	8	8	8	1	3	6645	25983	156	1030	320
13,46,	134	159	107	266	25302	31	25938	13	13	13	1	16	24719	53270	488	1219	301
13,47,	137	100	50	150	26842	29	16433	8	8	8	1	4	15403	35127	264	1030	319
13,48,	137	87	50	137	26813	30	10281	8	8	8	1	3	9251	28824	240	1030	320
13,49,	136	88	59	147	26556	30	10185	9	9	9	1	3	9151	30412	260	1034	319
13,50,	137	91	50	141	26772	30	9044	8	8	8	1	3	8014	28390	248	1030	320
13,51,	137	108	50	158	26869	30	12767	8	8	8	1	3	11737	30428	282	1030	320
13,52,	137	111	50	161	26894	30	16901	8	8	8	1	3	15871	34270	286	1030	320
13,53,	137	65	66	131	24855	28	14660	10	10	10	1	8	12814	52227	222	1846	307
13,54,	137	119	55	174	26718	30	20024	9	9	9	1	6	18985	40463	310	1039	316
13,55,	137	90	50	140	26817	30	10377	8	8	8	1	3	9347	28713	244	1030	320
13,56,	137	97	50	147	26798	30	10501	8	8	8	1	3	9471	29329	260	1030	320
13,57,	137	103	50	153	26836	30	12307	8	8	8	1	3	11277	29751	270	1030	320
13,58,	136	89	59	148	26408	30	11082	9	9	9	1	4	9862	32591	260	1220	318
13,59,	137	75	50	125	26762	30	8160	8	8	8	1	3	7130	27468	216	1030	320
13,60,	137	85	50	135	26644	30	9543	8	8	8	1	4	8513	30019	236	1030	319
13,61,	137	68	50	118	26731	30	8543	8	8	8	1	3	7513	27943	202	1030	320
13,62,	138	67	50	117	26958	31	8675	8	8	8	1	3	7645	27500	200	1030	320
13,63,	137	76	50	126	26792	31	8664	8	8	8	1	3	7634	27598	218	1030	320
13,64,	137	74	50	124	26774	31	8350	8	8	8	1	3	7320	27593	214	1030	320
13,65,	137	82	50	132	26809	31	9013	8	8	8	1	3	7983	27663	230	1030	320
13,66,	137	61	50	111	26731	31	8036	8	8	8	1	3	7006	27069	186	1030	320
13,67,	137	64	50	114	26768	31	8416	8	8	8	1	3	7386	27045	192	1030	320
13,68,	137	75	50	125	26787	31	8532	8	8	8	1	3	7502	27547	216	1030	320
13,69,	137	58	50	108	26720	31	8239	8	8	8	1	3	7209	27277	182	1030	320
13,70,	137	55	50	105	26719	30	8068	8	8	8	1	3	7038	26986	176	1030	320
13,71,	137	63	50	113	26729	31	8175	8	8	8	1	3	7145	27349	192	1030	320
13,72,	137	56	50	106	26734	30	7830	8	8	8	1	3	6800	26909	178	1030	320
13,73,	138	51	50	101	26890	30	7864	8	8	8	1	3	6834	27170	168	1030	320
13,74,	137	59	50	109	26719	31	7996	8	8	8	1	3	6966	27145	184	1030	320
13,75,	137	50	50	100	26709	31	7841	8	8	8	1	3	6811	26643	166	1030	320
13,76,	138	48	50	98	26894	31	7681	8	8	8	1	3	6651	26648	162	1030	320
13,77,	138	47	50	97	26853	31	7740	8	8	8	1	3	6710	26794	160	1030	320
13,78,	138	47	50	97	26853	31	7738	8	8	8	1	3	6708	26847	160	1030	320
13,79,	137	53	50	103	26709	30	7944	8	8	8	1	3	6914	26851	172	1030	320
13,80,	138	46	50	96	26853	31	7674	8	8	8	1	3	6644	26857	158	1030	320
13,81,	137	49	50	99	26697	30	7682	8	8	8	1	3	6652	26370	164	1030	320
13,82,	138	56	50	106	26844	31	8227	8	8	8	1	4	7197	29941	178	1030	319
13,83,	138	51	50	101	26872	31	7699	8	8	8	1	3	6669	27185	168	1030	320
13,84,	138	50	50	100	26869	31	7694	8	8	8	1	3	6664	26754	166	1030	320
13,85,	138	51	50	101	26872	31	7736	8	8	8	1	3	6706	26809	168	1030	320
13,86,	138	48	50	98	26866	31	7678	8	8	8	1	3	6648	26390	162	1030	320
13,87,	138	48	50	98	26894	31	7698	8	8	8	1	3	6668	26533	162	1030	320
13,88,	138	43	50	93	26853	31	7674	8	8	8	1	3	6644	26402	152	1030	320
13,89,	138	47	50	97	26876	31	7759	8	8	8	1	3	6729	26718	160	1030	320
13,90,	137	46	50	96	26684	31	7737	8	8	8	1	3	6707	26147	158	1030	320
13,91,	138	44	50	94	26872	31	7674	8	8	8	1	3	6644	26320	154	1030	320
13,92,	138	43	50	93	26853	31	7674	8	8	8	1	3	6644	26402	152	1030	320
13,93,	138	48	50	98	26866	31	7729	8	8	8	1	3	6699	26352	162	1030	320
13,94,	138	44	50	94	26872	31	7674	8	8	8	1	3	6644	26320	154	1030	320
13,95,	138	43	50	93	26853	31	7674	8	8	8	1	3	6644	26172	152	1030	320
13,96,	138	58	50	108	26851	31	8471	8	8	8	1	4	7441	30214	180	1030	319
13,97,	138	42	50	92	26853	31	7674	8	8	8	1	3	6644	26173	150	1030	320
13,98,	138	42	50	92	26853	31	7674	8	8	8	1	3	6644	26173	150	1030	320
13,99,	138	42	50	92	26853	31	7674	8	8	8	1	3	6644	26173	150	1030	320
14,15,	137	46	0	46	27888	33	638	0	0	0	0	1	638	4795	92	0	330
14,16,	137	49	0	49	27917	33	510	0	0	0	0	1	510	4528	98	0	330
14,17,	137	50	0	50	27905	32	863	0	0	0	0	1	863	4913	100	0	330
14,18,	137	56	0	56	27895	33	362	0	0	0	0	1	362	4832	110	0	330
14,19,	137	43	0	43	27885	32	251	0	0	0	0	1	251	4260	86	0	330
14,20,	137	43	0	43	27871	33	592	0	0	0	0	1	592	4550	86	0	330
14,21,	137	46	0	46	27877	33	106	0	0	0	0	1	106	4545	92	0	330
14,22,	137	40	0	40	27862	33	137	0	0	0	0	1	137	4346	80	0	330
14,23,	137	47	0	47	27848	33	145	0	0	0	0	1	145	4935	94	0	330
14,24,	137	33	0	33	27788	33	93	0	0	0	0	1	93	3594	66	0	330
14,25,	137	45	0	45	27836	33	97	0	0	0	0	1	97	4932	90	0	330
14,26,	137	42	0	42	27832	33	242	0	0	0	0	1	242	4805	84	0	330
14,27,	137	45	0	45	27881	33	168	0	0	0	0	1	168	4374	90	0	330
14,28,	137	46	0	46	27877	33	94	0	0	0	0	1	94	4505	92	0	330
14,29,	137	46	0	46	27868	33	350	0	0	0	0	1	350	4740	92	0	330
14,30,	137	37	0	37	27863	33	126	0	0	0	0	1	126	3969	74	0	330
14,31,	137	37	0	37	27809	33	120	0	0	0	0	1	120	4251	74	0	330
14,32,	137	44	0	44	27859	33	641	0	0	0	0	1	641	4651	88	0	330
14,33,	137	41	0	41	27872	32	118	0	0	0	0	1	118	4267	82	0	330
14,34,	137	35	0	35	27811	33	103	0	0	0	0	1	103	4127	70	0	330
14,35,	137	34	0	34	27804	33	101	0	0	0	0	1	101	3783	68	0	330
14,36,	137	31	0	31	27811	33	88	0	0	0	0	1	88	3459	62	0	330
14,37,	137	31	0	31	27808	33	94	0	0	0	0	1	94	3487	62	0	330
14,38,	137	33	0	33	27809	33	140	0	0	0	0	1	140	3538	66	0	330
14,39,	137	32	0	32	27815	33	88	0	0	0	0	1	88	3536	64	0	330
14,40,	137	33	0	33	27801	33	338	0	0	0	0	1	338	3838	66	0	330
14,41,	137	30	0	30	27787	33	88	0	0	0	0	1	88	3408	60	0	330
14,42,	137	31	0	31	27478	33	429	0	0	0	0	2	429	4941	62	0	329
14,43,	137	30	0	30	27779	33	91	0	0	0	0	1	91	3418	60	0	330
14,44,	137	28	0	28	27775	33	88	0	0	0	0	1	88	3206	56	0	330
14,45,	137	31	0	31	27778	33	89	0	0	0	0	1	89	3387	62	0	330
14,46,	134	145	57	202	26448	32	18352	5	5	5	1	14	18163	32657	394	189	311
14,47,	137	86	0	86	28007	32	8847	0	0	0	0	2	8847	12884	172	0	329
14,48,	137	73	0	73	27966	32	2695	0	0	0	0	1	2695	6347	144	0	330
14,49,	136	74	9	83	27700	32	2599	1	1	1	1	1	2595	8046	164	4	329
14,50,	137	77	0	77	27920	33	1458	0	0	0	0	1	1458	5920	152	0	330
14,51,	137	94	0	94	28022	32	5181	0	0	0	0	1	5181	8031	186	0	330
14,52,	137	97	0	97	28057	32	9315	0	0	0	0	1	9315	12058	192	0	330
14,53,	137	51	16	67	25967	31	7074	2	2	2	1	6	6258	30842	128	816	317
14,54,	137	105	5	110	27881	33	12438	1	1	1	1	4	12429	18485	218	9	326
14,55,	137	76	0	76	27976	32	2791	0	0	0	0	1	2791	6500	152	0	330
14,56,	137	83	0	83	27950	32	2915	0	0	0	0	1	2915	6879	164	0	330
14,57,	137	89	12	101	27813	32	4851	2	2	2	1	1	4721	11284	200	130	328
14,58,	136	75	9	84	27548	31	3496	1	1	1	1	2	3306	10323	166	190	328
14,59,	137	61	0	61	27908	33	574	0	0	0	0	1	574	5037	120	0	330
14,60,	137	71	0	71	27794	32	1957	0	0	0	0	2	1957	7613	142	0	329
14,61,	137	54	0	54	27880	33	957	0	0	0	0	1	957	5455	108	0	330
14,62,	138	53	0	53	28118	33	1089	0	0	0	0	1	1089	4932	106	0	330
14,63,	137	62	0	62	27946	33	1078	0	0	0	0	1	1078	5081	124	0	330
14,64,	137	60	0	60	27927	33	764	0	0	0	0	1	764	5072	120	0	330
14,65,	137	68	0	68	27963	33	1427	0	0	0	0	1	1427	5157	136	0	330
14,66,	137	47	0	47	27890	32	450	0	0	0	0	1	450	4532	94	0	330
14,67,	137	50	0	50	27927	33	830	0	0	0	0	1	830	4587	100	0	330
14,68,	137	61	0	61	27941	33	946	0	0	0	0	1	946	5026	122	0	330
14,69,	137	44	0	44	27872	32	653	0	0	0	0	1	653	4751	88	0	330
14,70,	137	41	0	41	27869	33	482	0	0	0	0	1	482	4455	82	0	330
14,71,	137	49	0	49	27876	33	589	0	0	0	0	1	589	4822	96	0	330
14,72,	137	42	0	42	27884	33	244	0	0	0	0	1	244	4390	84	0	330
14,73,	138	37	0	37	28048	32	278	0	0	0	0	1	278	4638	74	0	330
14,74,	137	45	0	45	27867	33	410	0	0	0	0	1	410	4608	90	0	330
14,75,	137	36	0	36	27858	33	255	0	0	0	0	1	255	4096	72	0	330
14,76,	138	34	0	34	28052	33	95	0	0	0	0	1	95	4073	68	0	330
14,77,	138	33	0	33	28011	33	154	0	0	0	0	1	154	4229	66	0	330
14,78,	138	33	0	33	28011	33	152	0	0	0	0	1	152	4283	66	0	330
14,79,	137	39	0	39	27858	33	358	0	0	0	0	1	358	4314	78	0	330
14,80,	138	32	0	32	28011	33	88	0	0	0	0	1	88	4296	64	0	330
14,81,	137	35	0	35	27845	33	96	0	0	0	0	1	96	3805	70	0	330
14,82,	138	42	0	42	28002	32	641	0	0	0	0	2	641	7505	84	0	329
14,83,	138	37	0	37	28030	33	113	0	0	0	0	1	113	4642	74	0	330
14,84,	138	36	0	36	28027	33	108	0	0	0	0	1	108	4202	72	0	330
14,85,	138	37	0	37	28030	33	150	0	0	0	0	1	150	4263	74	0	330
14,86,	138	34	0	34	28024	33	92	0	0	0	0	1	92	3825	68	0	330
14,87,	138	34	0	34	28052	33	112	0	0	0	0	1	112	3951	68	0	330
14,88,	138	29	0	29	28011	33	88	0	0	0	0	1	88	3837	58	0	330
14,89,	138	33	0	33	28034	33	173	0	0	0	0	1	173	4164	66	0	330
14,90,	137	32	0	32	27834	33	151	0	0	0	0	1	151	3570	64	0	330
14,91,	138	30	0	30	28030	33	88	0	0	0	0	1	88	3750	60	0	330
14,92,	138	29	0	29	28011	33	88	0	0	0	0	1	88	3837	58	0	330
14,93,	138	34	0	34	28024	33	143	0	0	0	0	1	143	3787	68	0	330
14,94,	138	30	0	30	28030	33	88	0	0	0	0	1	88	3750	60	0	330
14,95,	138	29	0	29	28011	33	88	0	0	0	0	1	88	3597	58	0	330
14,96,	138	44	0	44	28009	33	885	0	0	0	0	2	885	7950	88	0	329
14,97,	138	28	0	28	28011	33	88	0	0	0	0	1	88	3598	56	0	330
14,98,	138	28	0	28	28011	33	88	0	0	0	0	1	88	3598	56	0	330
14,99,	138	28	0	28	28011	33	88	0	0	0	0	1	88	3598	56	0	330
15,16,	137	41	0	41	27919	33	972	0	0	0	0	1	972	4578	82	0	330
15,17,	137	42	0	42	27907	32	1325	0	0	0	0	1	1325	4962	84	0	330
15,18,	137	48	0	48	27898	33	824	0	0	0	0	1	824	4896	96	0	330
15,19,	137	35	0	35	27887	32	713	0	0	0	0	1	713	4308	70	0	330
15,20,	137	35	0	35	27873	32	1054	0	0	0	0	1	1054	4598	70	0	330
15,21,	137	38	0	38	27879	33	568	0	0	0	0	1	568	4607	76	0	330
15,22,	137	32	0	32	27864	33	599	0	0	0	0	1	599	4395	64	0	330
15,23,	137	39	0	39	27850	33	607	0	0	0	0	1	607	4999	78	0	330
15,24,	137	25	0	25	27790	33	555	0	0	0	0	1	555	3647	50	0	330
15,25,	137	37	0	37	27838	33	559	0	0	0	0	1	559	4994	74	0	330
15,26,	137	34	0	34	27834	33	704	0	0	0	0	1	704	4864	68	0	330
15,27,	137	37	0	37	27883	33	630	0	0	0	0	1	630	4430	74	0	330
15,28,	137	38	0	38	27879	33	556	0	0	0	0	1	556	4570	76	0	330
15,29,	137	38	0	38	27870	33	812	0	0	0	0	1	812	4801	76	0	330
15,30,	137	29	0	29	27865	32	588	0	0	0	0	1	588	4021	58	0	330
15,31,	137	29	0	29	27811	33	582	0	0	0	0	1	582	4307	58	0	330
15,32,	137	36	0	36	27861	33	1103	0	0	0	0	1	1103	4709	72	0	330
15,33,	137	33	0	33	27874	32	580	0	0	0	0	1	580	4315	66	0	330
15,34,	137	27	0	27	27813	33	565	0	0	0	0	1	565	4180	54	0	330
15,35,	137	26	0	26	27806	33	563	0	0	0	0	1	563	3835	52	0	330
15,36,	137	23	0	23	27813	33	550	0	0	0	0	1	550	3510	46	0	330
15,37,	137	23	0	23	27810	33	556	0	0	0	0	1	556	3538	46	0	330
15,38,	137	25	0	25	27811	33	602	0	0	0	0	1	602	3588	50	0	330
15,39,	137	24	0	24	27817	33	550	0	0	0	0	1	550	3588	48	0	330
15,40,	137	25	0	25	27803	33	800	0	0	0	0	1	800	3889	50	0	330
15,41,	137	22	0	22	27789	33	550	0	0	0	0	1	550	3459	44	0	330
15,42,	137	23	0	23	27480	33	891	0	0	0	0	2	891	4990	46	0	329
15,43,	137	22	0	22	27781	33	553	0	0	0	0	1	553	3470	44	0	330
15,44,	137	20	0	20	27777	33	550	0	0	0	0	1	550	3257	40	0	330
15,45,	137	23	0	23	27780	33	551	0	0	0	0	1	551	3438	46	0	330
15,46,	134	137	57	194	26457	32	18814	5	5	5	1	14	18625	32418	376	189	311
15,47,	137	78	0	78	28009	32	9309	0	0	0	0	2	9309	12956	156	0	329
15,48,	137	65	0	65	27969	32	3157	0	0	0	0	1	3157	6468	130	0	330
15,49,	136	66	9	75	27703	32	3061	1	1	1	1	1	3057	8155	150	4	329
15,50,	137	69	0	69	27923	33	1920	0	0	0	0	1	1920	6002	138	0	330
15,51,	137	86	0	86	28025	32	5643	0	0	0	0	1	5643	8161	172	0	330
15,52,	137	89	0	89	28060	32	9777	0	0	0	0	1	9777	12233	178	0	330
15,53,	137	43	16	59	25969	31	7536	2	2	2	1	6	6720	30855	112	816	317
15,54,	137	97	5	102	27882	33	12900	1	1	1	1	4	12891	18648	202	9	326
15,55,	137	68	0	68	27977	32	3253	0	0	0	0	1	3253	6473	134	0	330
15,56,	137	75	0	75	27953	32	3377	0	0	0	0	1	3377	6987	150	0	330
15,57,	137	81	12	93	27816	32	5313	2	2	2	1	1	5183	11356	184	130	328
15,58,	136	67	9	76	27550	31	3958	1	1	1	1	2	3768	10402	150	190	328
15,59,	137	53	0	53	27912	33	1036	0	0	0	0	1	1036	5076	106	0	330
15,60,	137	63	0	63	27794	32	2419	0	0	0	0	2	2419	7616	124	0	329
15,61,	137	46	0	46	27881	33	1419	0	0	0	0	1	1419	5476	90	0	330
15,62,	138	45	0	45	28120	33	1551	0	0	0	0	1	1551	4989	90	0	330
15,63,	137	54	0	54	27948	33	1540	0	0	0	0	1	1540	5138	108	0	330
15,64,	137	52	0	52	27928	33	1226	0	0	0	0	1	1226	5092	102	0	330
15,65,	137	60	0	60	27965	33	1889	0	0	0	0	1	1889	5218	120	0	330
15,66,	137	39	0	39	27892	32	912	0	0	0	0	1	912	4580	78	0	330
15,67,	137	42	0	42	27929	33	1292	0	0	0	0	1	1292	4636	84	0	330
15,68,	137	53	0	53	27943	33	1408	0	0	0	0	1	1408	5086	106	0	330
15,69,	137	36	0	36	27873	32	1115	0	0	0	0	1	1115	4745	70	0	330
15,70,	137	33	0	33	27871	32	944	0	0	0	0	1	944	4502	66	0	330
15,71,	137	41	0	41	27879	33	1051	0	0	0	0	1	1051	4883	82	0	330
15,72,	137	34	0	34	27886	33	706	0	0	0	0	1	706	4438	68	0	330
15,73,	138	29	0	29	28050	32	740	0	0	0	0	1	740	4691	58	0	330
